ASIN,MRP,aplus_images,aplus_text,attributes,best_sellers_rank,brand,bullets,collection,country_of_origin,date_first_available,department,description,discount,image_links,important_info,importer,is_discontinued_by_manufacturer,item_height,item_height_unit,item_length,item_length_unit,item_width,item_width_unit,material,metal,model_number,net_quantity,offers,packaging,packer,price,product_path,ratings,ratings_count,special_offers,stone,title,type_of_offers,url,video_links,warranty_type,weight,title_brand_present,title_sentence_case,title_spellcheck,title_Corrected_text,final_title_check_flag,description_special_chr_check,description_char_constrained_2000,description_multiline_check,description_spellcheck,description_Corrected_text,final_description_check_flag,bullets_special_chr_check,bullets_number_check,bullets_first_capital_check,bullets_spellcheck,bullets_Corrected_text,final_bullet_point_check_flag,Grade1,final_entire_spellcheck,final_dimensionality_check,final_sentence_case_check,Grade2
B08VF35G1Q,"1,399","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/088bb2e0-6376-4aea-a3b1-49921dc992b8.__CR0,0,2822,1157_PT0_SX1464_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/66a472a6-2e54-41e4-957c-9d103ff85d7a.__CR0,0,2823,1157_PT0_SX1464_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/3ce0a77a-db61-4674-b5a1-2a443be21a42.__CR0,0,2823,1157_PT0_SX1464_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/50e8fe3c-290f-49a2-8b32-33d925a2a2db.__CR0,0,2822,1157_PT0_SX1464_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/d2efcfa4-683d-4062-b338-7aad19e80977.__CR0,0,2823,1157_PT0_SX1464_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/d4c4f0d6-417a-4bdc-b82d-01024f259679.__CR0,0,2823,1157_PT0_SX1464_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/d75eff6c-9347-460c-a93f-d93a8e1e5283.__CR0,1,2822,1157_PT0_SX1464_V1___.jpg",NA,NA,NA,NA," SIZE:  140 cm x 70 cm. WEIGHT: 375 grams.  
, SUPER ABSORBENT & QUICK DRY: Our extra luxurious Bamboo made bath towels can absorb 4x more water than regular cotton towels. Bamboo absorbs double the moisture of its weight, so our towels dry you fast and give a fresh feel after a bath, swim, gym, sports session. Also, the towels dry up quickly which allows them to be ready for the next use.  
, SUPER SOFT & SKIN FRIENDLY: Our cotton blended bamboo towels bring you the best of nature. They are naturally super-soft, anti-bacterial & anti-odour, making the towels hygienically superior. You will experience no rashes or irritation even after multiple uses.  
, DURABLE: The double-ply construction combined with a continuous double lock stitch makes our towels stronger and durable as compared to other towels. There will be no fiber or lint residue on your body post use.  
, LIGHTWEIGHT & TRAVEL FRIENDLY: These 400 GSM towels are lightweight and ideal for traveling. They won't take much space in your luggage so you can take them anywhere & everywhere.  
",NA,NA,NA,NA,NA,44%,"https://m.media-amazon.com/images/I/41TnmPXW+ZS.jpg,https://m.media-amazon.com/images/I/51zLzWkgkCL.jpg,https://m.media-amazon.com/images/I/51tkpnHZIOL.jpg,https://m.media-amazon.com/images/I/51xsnsiBpWL.jpg,https://m.media-amazon.com/images/I/41AU5jnQWgL.jpg,https://m.media-amazon.com/images/I/41QVbpd+J2L.jpg,https://m.media-amazon.com/images/I/5188HkXgwKL.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Avail No Cost EMI on select cards for orders above ₹3000,Upto ₹59.25 discount on select Credit Cards,Get GST  invoice and save up to 28% on business purchases.",NA,NA,790,"Home & Kitchen,Home Furnishing,Bathroom Linen,Towels,Bath Towels",4.1,681 global ratings,NA,NA,"HEELIUM Bamboo Bath Towel - 400 GSM, Soft, Absorbent, Quick Dry, Odour Free, 140x70 cm"," No Cost EMI , Bank Offer , Partner Offers ",https://www.amazon.in/Heelium-Bamboo-Bath-Towel-Lightweight/dp/B08VF35G1Q,NA,NA,NA,0,1,0,"[[{'start': 65, 'text': 'Odour', 'correct': 'Odor', 'definition': None}]]",0,1,1,0,1,[[]],0,0,1,1,0,"[[], [], [], [{'start': 25, 'text': 'quickly which', 'correct': 'quickly, which', 'definition': 'Accept comma addition'}], [], [{'start': 144, 'text': 'odour', 'correct': 'odor', 'definition': 'any property detected by the olfactory system'}], [], []]",0,C,0,1,1,B
B09X48KGZM,"1,798","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/3b07b53c-2704-43a7-acd2-62490c9a8b01.__CR0,0,970,600_PT0_SX970_V1___.png,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/bcfaf91d-8759-4de9-8be8-c7e7a1488fd9.__CR0,0,970,600_PT0_SX970_V1___.png,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/65a602e9-1453-4268-bd14-1e5fbf1062c3.__CR0,0,970,600_PT0_SX970_V1___.png,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/21176b26-cc9a-4986-aef8-6637a5aa1d4b.__CR0,0,970,600_PT0_SX970_V1___.png,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/8558e2ca-a77c-4d96-946c-ccb05be9e389.__CR0,0,970,600_PT0_SX970_V1___.png,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/69cacb1d-7bf4-4daa-8d1a-a682db4c6e8a.__CR0,0,970,600_PT0_SX970_V1___.png",NA,NA,NA,NA," COMFORTABLE : When babies are swaddled, they sleep better & feel safe as babies are used to being wrapped tightly in the womb. Bamboo Fabric is weightless & thermo-regulating which helps to regulate the body temperature based on the weather.  
, SOFTER THAN SOFT : The bamboo fabric is super-soft and gentle on your baby’s skin. The soft plush fabric wraps around your baby for a comfortable sleep. It is also the best choice for rash prevention.  
, MULTIPURPOSE : Mush Bamboo Swaddles can be used as a play mat, a blanket, a burp cloth, a nursing cover, a picnic blanket. It is one of the best baby shower gifts for every new mom.  
",NA,NA,NA,NA,NA,50%,"https://m.media-amazon.com/images/I/31ectCbO8tL.jpg,https://m.media-amazon.com/images/I/51pApkFhhTL.jpg,https://m.media-amazon.com/images/I/41+H4cREc3L.jpg,https://m.media-amazon.com/images/I/51hEMPKkv5L.jpg,https://m.media-amazon.com/images/I/31neIziQJvL.jpg,https://m.media-amazon.com/images/I/41-NSDM0bcL.jpg,https://m.media-amazon.com/images/I/31yiUGt6TOL.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Avail No Cost EMI on select cards for orders above ₹3000,Upto ₹67.42 discount on select Credit Cards,Get GST  invoice and save up to 28% on business purchases.",NA,NA,899,"Baby,Bedding, Furniture & Room Décor,Bedding,Blankets & Swaddlers,Swaddlers",4.6,35 global ratings,NA,NA,"Mush 100% Bamboo Swaddle : Ultra Soft, Breathable, Thermoregulating, Absorbent, Light Weight and Multipurpose Bamboo Wrapper / Baby Bath Towel / Blanket (2, Jungle (Grey) & Sea (Colorful)"," No Cost EMI , Bank Offer , Partner Offers ",https://www.amazon.in/Mush-Comfortable-Multipurpose-Swaddle-Colorful/dp/B09X48KGZM,NA,NA,NA,0,1,0,"[[{'start': 165, 'text': 'Grey', 'correct': 'Gray', 'definition': 'English poet best known for his elegy written in a country churchyard (1716-1771)'}, {'start': 24, 'text': ' :', 'correct': ':', 'definition': 'Accept space'}]]",0,1,1,0,1,[[]],0,1,1,1,0,"[[{'start': 11, 'text': ' :', 'correct': ':', 'definition': 'Accept space'}], [{'start': 16, 'text': ' :', 'correct': ':', 'definition': 'Accept space'}], [{'start': 12, 'text': ' :', 'correct': ':', 'definition': 'Accept space'}]]",0,C,0,0,1,C
B0BNBVHKZW,"2,499","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/bc64f236-d030-4c6b-9cf4-6bfd8275e1e8.__CR0,0,970,600_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/238b91d8-ebcc-4111-8161-d9906849ef2d.__CR0,0,970,600_PT0_SX970_V1___.png,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/0365d879-8260-4826-b26f-0abe17bc83f5.__CR0,0,970,600_PT0_SX970_V1___.png,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/2cff562a-c1ae-469a-b030-e24a2e34cd97.__CR0,0,970,600_PT0_SX970_V1___.png,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/74e2f908-bf06-40eb-b201-ae7ad5f234b1.__CR0,0,970,600_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/18eb1a31-9e0f-4fe4-9eb6-b0ff61c73b83.__CR0,0,970,600_PT0_SX970_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-brand-media/9468c3a6ca8357bfec379ccf1d226b71.w2000.h3000.__CR0,0,1500,3000_PT0_SX150_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/e228986f-4e4c-4834-b8cc-8982378f980a.__CR0,0,1500,3000_PT0_SX150_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/44f22423-b851-4638-a058-22132b30470e.__CR82,0,300,600_PT0_SX150_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/59003d75-f736-4e4e-83c3-b351328e6ec2.__CR157,0,540,1080_PT0_SX150_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/89d8dd65-7f97-40b7-a4e7-c64521a11ced.__CR245,0,540,1080_PT0_SX150_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/e9f7eb13-2ab9-42c2-b8a8-d957c4c7e056.__CR545,0,300,600_PT0_SX150_V1___.png",NA,NA,NA,NA," ANTI-SLIP MAT - Mush Wooden Mat comes with silicon non-skid pads. The bottom is padded with rubber grip tape that is non-slip on all kinds of surfaces. Ideal for home or room entrance, balconies, bathrooms & outdoor areas near pools or bath tubs or even near your patio or garden for safe, secure footing even when faced with high temperatures & damp conditions.  
, DURABLE, WATERPROOF & LONG LASTING- The seasoned wooden bamboo mat is temperature treated to be waterproof and to stay far from mold and odor; a lattice design lets water and air flow freely. Would not stain or sag; lighter than teak wood and stronger than plastic or rubber which makes them Durable for a long term usage.  
, GREAT UNDER-PAD FOR FABRIC RUGS - Place your rug on top of this bamboo bath mat to create airflow, keep the rug dry, and prevent odors  
, EASY TO  CLEAN - Our wooden mats are available in appropriate sizes & much easier to clean than fabric floor rugs, spray with water or wipe with a damp cloth to clean & lean on the side to dry.  
, PROVIDES SAFETY & STABILITY for babies, toddlers, kids, children, and the elderly when they’re bathing. Protect your flooring and provide you with safer, more stable footing.  
",NA,NA,NA,NA,NA,40%,"https://m.media-amazon.com/images/I/51PJ29NsHIL.jpg,https://m.media-amazon.com/images/I/41OxLqvmwXL.jpg,https://m.media-amazon.com/images/I/51Ud95xOhZL.jpg,https://m.media-amazon.com/images/I/41ynl4q3q3L.jpg,https://m.media-amazon.com/images/I/51E4P0PLyxL.jpg,https://m.media-amazon.com/images/I/51YjBitaKYL.jpg,https://m.media-amazon.com/images/I/614zwsgNMTL.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Avail No Cost EMI on select cards for orders above ₹3000,Upto ₹112.42 discount on select Credit Cards,Get GST  invoice and save up to 28% on business purchases.",NA,NA,"1,499","Home & Kitchen,Home Furnishing,Bathroom Linen,Bath Mats",NA,NA,NA,NA,"Mush Bamboo Wooden Bath Mat- Non Slip Quick Drying Mat for Bathroom,Kitchen,Patio,SPA,Sauna etc.Made with Water-Resistant Organic Bamboo Wood with Anti Slip Silicone Pads (1,Natural Bamboo) 40*60"," No Cost EMI , Bank Offer , Partner Offers ",https://www.amazon.in/Mush-Bathroom-etc-Made-Water-Resistant-Silicone/dp/B0BNBVHKZW,NA,NA,NA,1,0,0,"[[{'start': 95, 'text': '.', 'correct': '. ', 'definition': 'Accept space'}, {'start': 92, 'text': 'etc', 'correct': 'etc.', 'definition': 'continuing in the same way'}, {'start': 85, 'text': ',', 'correct': ', ', 'definition': 'Accept space'}, {'start': 81, 'text': ',', 'correct': ', ', 'definition': 'Accept space'}, {'start': 75, 'text': ',', 'correct': ', ', 'definition': 'Accept space'}, {'start': 67, 'text': ',', 'correct': ', ', 'definition': 'Accept space'}]]",0,1,1,0,1,[[]],0,1,1,1,1,"[[], [], [], [], [], [], [], [], [], []]",1,B,0,0,0,C
B09W5PXDWZ,799,"https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/7a233eb8-3fa8-467a-9635-afa61fcff038.__CR0,0,970,600_PT0_SX970_V1___.png,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/32615080-6c58-4a83-805b-fe748e365932.__CR1000,361,2000,2000_PT0_SX300_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/6c3fc9d3-2ae4-4a7b-9873-fe75b117b020.__CR0,0,2500,2500_PT0_SX300_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/3ff4a99f-8b48-4b8c-88d9-d70e37ac7900.__CR0,500,2000,2000_PT0_SX300_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/44204984-c78c-4659-9d7f-38eb45828aaa.__CR1,0,4042,2500_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/54ce388f-569f-4a36-93ff-1d7f70928336.__CR0,0,970,600_PT0_SX970_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/b5efed3d-0840-4852-8050-eafa275cade8.__CR0,0,1500,3000_PT0_SX150_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-brand-media/34123fdcda8fd58ba9562d4b9368dd21.w1500.h1875.__CR477,0,938,1875_PT0_SX150_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/4943d041-e861-43f6-ba83-2ba1d8a0184e.__CR0,0,1500,3000_PT0_SX150_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/cfe9d0d6-7302-4ee6-8cfa-5a220f13e58b.__CR0,0,1500,3000_PT0_SX150_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/b0d2cfac-8560-41eb-a3a1-8c405c986b0c.__CR0,0,1500,3000_PT0_SX150_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/abcb155c-44f1-4df2-bcde-76dd08f343f7.__CR0,0,1500,3000_PT0_SX150_V1___.jpg","Give your hard-working feet the comfort it deserves with Mush Performance Bamboo socks with built-in lightweight Terry Cushion for extra comfort and with mesh design for ventilation.The Bamboo fibres used in Mush socks can be 40% more absorbent than cotton fibres. Thus, Mush socks absorb the sweat from your body in a jiffy helping you keep dry with a soft and silky touch to your feet.Engineered to fit the contours in your feet to perfection using a breathable fabric that offers great comfort and supports versatile athletic activities, a great choice for regular work-outs, running, indoor & outdoor sports, and everyday casual use.",NA,NA,NA," Care Instructions: Machine Wash  
, Innovative Design : Give your hard-working feet the comfort it deserves with Mush Performance Bamboo socks with built-in lightweight Terry Cushion for extra comfort and with mesh design for ventilation.  
, Breathable & Thermo-regulating : The Bamboo fibres used in Mush socks can be 40% more absorbent than cotton fibres. Thus, Mush socks absorb the sweat from your body in a jiffy helping you keep dry with a soft and silky touch to your feet.  
, Casual/Sports Wear : Engineered to fit the contours in your feet to perfection using a breathable fabric that offers great comfort and supports versatile athletic activities, a great choice for regular work-outs, running, indoor & outdoor sports, and everyday casual use.  
",NA,NA,12 October 2022,Men,NA,25%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00 count,"Avail No Cost EMI on select cards for orders above ₹3000,Upto ₹59.90 discount on select Credit Cards, Federal Bank Debit Cards,Get GST  invoice and save up to 28% on business purchases.",NA,NA,599,"Clothing & Accessories,Men,Accessories,Socks & Hosiery,Socks,Liners & Ankle Socks",3.9,120 global ratings,10% Instant Discount up to INR 300 on Federal Bank Debit Card Trxns. Minimum purchase value INR 150010% Instant Discount up to INR 300 on Federal Bank Credit Card Trxns. Minimum purchase value INR 20005%  Instant Discount up to INR 250 on HSBC Cashback Card Credit Card Transactions. Minimum purchase value INR 1000No cost EMI available on select cards. Please check 'EMI options' above for more details.Get GST  invoice and save up to 28% on business purchases.,NA,"Mush Bamboo Ultra Soft, Anti Odor, Breathable, Anti Blister Ankle Socks for Men & Women for Running, Sports & Gym (Pack of 3) Free Size"," No Cost EMI , Bank Offer , Partner Offers ",https://www.amazon.in/Mush-Bamboo-Breathable-Blister-Running/dp/B09W5PXDWZ,NA,NA,180 g,0,1,1,[[]],0,1,1,0,1,[[]],0,1,1,1,0,"[[], [{'start': 17, 'text': ' :', 'correct': ':', 'definition': 'Accept space'}], [{'start': 108, 'text': 'fibres', 'correct': 'fibers', 'definition': 'a slender and greatly elongated substance capable of being spun into yarn'}, {'start': 44, 'text': 'fibres', 'correct': 'fibers', 'definition': 'a slender and greatly elongated substance capable of being spun into yarn'}, {'start': 30, 'text': ' :', 'correct': ':', 'definition': 'Accept space'}], [{'start': 202, 'text': 'work-outs', 'correct': 'workouts', 'definition': 'the activity of exerting your muscles in various ways to keep fit'}, {'start': 52, 'text': 'in', 'correct': 'of', 'definition': None}, {'start': 18, 'text': ' :', 'correct': ':', 'definition': 'Accept space'}]]",0,C,0,0,1,C
